                 cnd  |                root  |      Central Neutron Detector  |                       0*cm 0*cm (-2.185+2.714)*cm  |                                   0 0 0  | 33bb99   |                Tube  |                   28.95*cm 38.56*cm 39.578*cm 0*deg 360*deg  |              G4_AIR  |                  no  |     1   |     1   |     1   |   0   |   0   |                  no  |                  no  |                                      no 
CND_Layer1_Paddle_31  |                 cnd  |Central Neutron Detector, Layer 1, Scintillator 31  |                               0*cm 0*cm -6.242*cm  |                     0*deg 0*deg 225*deg  | 33dd66   |       G4GenericTrap  |33.286*cm -3.61619663791845*cm 29*cm -4.01115413068064*cm 32*cm -0.025*cm 32*cm -0.025*cm 29*cm -3.61619663791845*cm 29*cm -4.01115413068064*cm 32*cm -0.025*cm 32*cm -0.025*cm 29*cm  |       ScintillatorB  |                  no  |    31   |     1   |     1   |   1   |   1   |                 cnd  |                 cnd  |         layer manual 1 paddle manual 31 
CND_Layer1_Paddle_32  |                 cnd  |Central Neutron Detector, Layer 1, Scintillator 32  |                               0*cm 0*cm -6.242*cm  |                     0*deg 0*deg 240*deg  | 33dd66   |       G4GenericTrap  |33.286*cm 0.025*cm 29*cm 0.025*cm 32*cm 4.01115413068064*cm 32*cm 3.61619663791845*cm 29*cm 0.025*cm 29*cm 0.025*cm 32*cm 4.01115413068064*cm 32*cm 3.61619663791845*cm 29*cm  |       ScintillatorB  |                  no  |    32   |     1   |     1   |   1   |   1   |                 cnd  |                 cnd  |         layer manual 1 paddle manual 32 
CND_Layer1_Paddle_33  |                 cnd  |Central Neutron Detector, Layer 1, Scintillator 33  |                               0*cm 0*cm -6.242*cm  |                     0*deg 0*deg 240*deg  | 33dd66   |       G4GenericTrap  |33.286*cm -3.61619663791845*cm 29*cm -4.01115413068064*cm 32*cm -0.025*cm 32*cm -0.025*cm 29*cm -3.61619663791845*cm 29*cm -4.01115413068064*cm 32*cm -0.025*cm 32*cm -0.025*cm 29*cm  |       ScintillatorB  |                  no  |    33   |     1   |     1   |   1   |   1   |                 cnd  |                 cnd  |         layer manual 1 paddle manual 33 
CND_Layer1_Paddle_34  |                 cnd  |Central Neutron Detector, Layer 1, Scintillator 34  |                               0*cm 0*cm -6.242*cm  |                     0*deg 0*deg 255*deg  | 33dd66   |       G4GenericTrap  |33.286*cm 0.025*cm 29*cm 0.025*cm 32*cm 4.01115413068064*cm 32*cm 3.61619663791845*cm 29*cm 0.025*cm 29*cm 0.025*cm 32*cm 4.01115413068064*cm 32*cm 3.61619663791845*cm 29*cm  |       ScintillatorB  |                  no  |    34   |     1   |     1   |   1   |   1   |                 cnd  |                 cnd  |         layer manual 1 paddle manual 34 
CND_Layer1_Paddle_35  |                 cnd  |Central Neutron Detector, Layer 1, Scintillator 35  |                               0*cm 0*cm -6.242*cm  |                     0*deg 0*deg 255*deg  | 33dd66   |       G4GenericTrap  |33.286*cm -3.61619663791845*cm 29*cm -4.01115413068064*cm 32*cm -0.025*cm 32*cm -0.025*cm 29*cm -3.61619663791845*cm 29*cm -4.01115413068064*cm 32*cm -0.025*cm 32*cm -0.025*cm 29*cm  |       ScintillatorB  |                  no  |    35   |     1   |     1   |   1   |   1   |                 cnd  |                 cnd  |         layer manual 1 paddle manual 35 
CND_Layer1_Paddle_36  |                 cnd  |Central Neutron Detector, Layer 1, Scintillator 36  |                               0*cm 0*cm -6.242*cm  |                     0*deg 0*deg 270*deg  | 33dd66   |       G4GenericTrap  |33.286*cm 0.025*cm 29*cm 0.025*cm 32*cm 4.01115413068064*cm 32*cm 3.61619663791845*cm 29*cm 0.025*cm 29*cm 0.025*cm 32*cm 4.01115413068064*cm 32*cm 3.61619663791845*cm 29*cm  |       ScintillatorB  |                  no  |    36   |     1   |     1   |   1   |   1   |                 cnd  |                 cnd  |         layer manual 1 paddle manual 36 
CND_Layer1_Paddle_37  |                 cnd  |Central Neutron Detector, Layer 1, Scintillator 37  |                               0*cm 0*cm -6.242*cm  |                     0*deg 0*deg 270*deg  | 33dd66   |       G4GenericTrap  |33.286*cm -3.61619663791845*cm 29*cm -4.01115413068064*cm 32*cm -0.025*cm 32*cm -0.025*cm 29*cm -3.61619663791845*cm 29*cm -4.01115413068064*cm 32*cm -0.025*cm 32*cm -0.025*cm 29*cm  |       ScintillatorB  |                  no  |    37   |     1   |     1   |   1   |   1   |                 cnd  |                 cnd  |         layer manual 1 paddle manual 37 
CND_Layer1_Paddle_38  |                 cnd  |Central Neutron Detector, Layer 1, Scintillator 38  |                               0*cm 0*cm -6.242*cm  |                     0*deg 0*deg 285*deg  | 33dd66   |       G4GenericTrap  |33.286*cm 0.025*cm 29*cm 0.025*cm 32*cm 4.01115413068064*cm 32*cm 3.61619663791845*cm 29*cm 0.025*cm 29*cm 0.025*cm 32*cm 4.01115413068064*cm 32*cm 3.61619663791845*cm 29*cm  |       ScintillatorB  |                  no  |    38   |     1   |     1   |   1   |   1   |                 cnd  |                 cnd  |         layer manual 1 paddle manual 38 
CND_Layer1_Paddle_39  |                 cnd  |Central Neutron Detector, Layer 1, Scintillator 39  |                               0*cm 0*cm -6.242*cm  |                     0*deg 0*deg 285*deg  | 33dd66   |       G4GenericTrap  |33.286*cm -3.61619663791845*cm 29*cm -4.01115413068064*cm 32*cm -0.025*cm 32*cm -0.025*cm 29*cm -3.61619663791845*cm 29*cm -4.01115413068064*cm 32*cm -0.025*cm 32*cm -0.025*cm 29*cm  |       ScintillatorB  |                  no  |    39   |     1   |     1   |   1   |   1   |                 cnd  |                 cnd  |         layer manual 1 paddle manual 39 
CND_Layer1_Paddle_40  |                 cnd  |Central Neutron Detector, Layer 1, Scintillator 40  |                               0*cm 0*cm -6.242*cm  |                     0*deg 0*deg 300*deg  | 33dd66   |       G4GenericTrap  |33.286*cm 0.025*cm 29*cm 0.025*cm 32*cm 4.01115413068064*cm 32*cm 3.61619663791845*cm 29*cm 0.025*cm 29*cm 0.025*cm 32*cm 4.01115413068064*cm 32*cm 3.61619663791845*cm 29*cm  |       ScintillatorB  |                  no  |    40   |     1   |     1   |   1   |   1   |                 cnd  |                 cnd  |         layer manual 1 paddle manual 40 
CND_Layer1_Paddle_41  |                 cnd  |Central Neutron Detector, Layer 1, Scintillator 41  |                               0*cm 0*cm -6.242*cm  |                     0*deg 0*deg 300*deg  | 33dd66   |       G4GenericTrap  |33.286*cm -3.61619663791845*cm 29*cm -4.01115413068064*cm 32*cm -0.025*cm 32*cm -0.025*cm 29*cm -3.61619663791845*cm 29*cm -4.01115413068064*cm 32*cm -0.025*cm 32*cm -0.025*cm 29*cm  |       ScintillatorB  |                  no  |    41   |     1   |     1   |   1   |   1   |                 cnd  |                 cnd  |         layer manual 1 paddle manual 41 
CND_Layer1_Paddle_42  |                 cnd  |Central Neutron Detector, Layer 1, Scintillator 42  |                               0*cm 0*cm -6.242*cm  |                     0*deg 0*deg 315*deg  | 33dd66   |       G4GenericTrap  |33.286*cm 0.025*cm 29*cm 0.025*cm 32*cm 4.01115413068064*cm 32*cm 3.61619663791845*cm 29*cm 0.025*cm 29*cm 0.025*cm 32*cm 4.01115413068064*cm 32*cm 3.61619663791845*cm 29*cm  |       ScintillatorB  |                  no  |    42   |     1   |     1   |   1   |   1   |                 cnd  |                 cnd  |         layer manual 1 paddle manual 42 
CND_Layer1_Paddle_43  |                 cnd  |Central Neutron Detector, Layer 1, Scintillator 43  |                               0*cm 0*cm -6.242*cm  |                     0*deg 0*deg 315*deg  | 33dd66   |       G4GenericTrap  |33.286*cm -3.61619663791845*cm 29*cm -4.01115413068064*cm 32*cm -0.025*cm 32*cm -0.025*cm 29*cm -3.61619663791845*cm 29*cm -4.01115413068064*cm 32*cm -0.025*cm 32*cm -0.025*cm 29*cm  |       ScintillatorB  |                  no  |    43   |     1   |     1   |   1   |   1   |                 cnd  |                 cnd  |         layer manual 1 paddle manual 43 
CND_Layer1_Paddle_44  |                 cnd  |Central Neutron Detector, Layer 1, Scintillator 44  |                               0*cm 0*cm -6.242*cm  |                     0*deg 0*deg 330*deg  | 33dd66   |       G4GenericTrap  |33.286*cm 0.025*cm 29*cm 0.025*cm 32*cm 4.01115413068064*cm 32*cm 3.61619663791845*cm 29*cm 0.025*cm 29*cm 0.025*cm 32*cm 4.01115413068064*cm 32*cm 3.61619663791845*cm 29*cm  |       ScintillatorB  |                  no  |    44   |     1   |     1   |   1   |   1   |                 cnd  |                 cnd  |         layer manual 1 paddle manual 44 
CND_Layer1_Paddle_45  |                 cnd  |Central Neutron Detector, Layer 1, Scintillator 45  |                               0*cm 0*cm -6.242*cm  |                     0*deg 0*deg 330*deg  | 33dd66   |       G4GenericTrap  |33.286*cm -3.61619663791845*cm 29*cm -4.01115413068064*cm 32*cm -0.025*cm 32*cm -0.025*cm 29*cm -3.61619663791845*cm 29*cm -4.01115413068064*cm 32*cm -0.025*cm 32*cm -0.025*cm 29*cm  |       ScintillatorB  |                  no  |    45   |     1   |     1   |   1   |   1   |                 cnd  |                 cnd  |         layer manual 1 paddle manual 45 
